Schnupp length,PRC -68178606,PRC -56815505,PRC -45452404,PRC -11363101,PRC 0,PRC 11363101,PRC 45452404,PRC 56815505,PRC 68178606,SRC -68178606,SRC -56815505,SRC -45452404,SRC -11363101,SRC 0,SRC 11363101,SRC 45452404,SRC 56815505,SRC 68178606,
3.243243e-01,2.172452e-07,2.621871e-01,1.523842e-07,2.831804e-01,6.213515e+01,2.831804e-01,1.523842e-07,2.621871e-01,2.172452e-07,2.656911e-08,9.932904e-03,6.732085e-07,2.843509e-03,1.201314e-24,2.843509e-03,6.732085e-07,9.932904e-03,2.656911e-08,
3.248248e-01,2.172408e-07,2.613117e-01,1.522319e-07,2.828720e-01,6.213515e+01,2.828720e-01,1.522319e-07,2.613117e-01,2.172408e-07,2.665419e-08,9.931231e-03,6.753099e-07,2.849205e-03,1.201314e-24,2.849205e-03,6.753099e-07,9.931231e-03,2.665419e-08,
3.253253e-01,2.172364e-07,2.604381e-01,1.520797e-07,2.825634e-01,6.213515e+01,2.825634e-01,1.520797e-07,2.604381e-01,2.172364e-07,2.673943e-08,9.929471e-03,6.774147e-07,2.854894e-03,1.201314e-24,2.854894e-03,6.774147e-07,9.929471e-03,2.673943e-08,
3.258258e-01,2.172321e-07,2.595663e-01,1.519277e-07,2.822548e-01,6.213515e+01,2.822548e-01,1.519277e-07,2.595663e-01,2.172321e-07,2.682481e-08,9.927624e-03,6.795228e-07,2.860577e-03,1.201314e-24,2.860577e-03,6.795228e-07,9.927624e-03,2.682481e-08,
3.263263e-01,2.172277e-07,2.586964e-01,1.517757e-07,2.819462e-01,6.213515e+01,2.819462e-01,1.517757e-07,2.586964e-01,2.172277e-07,2.691035e-08,9.925691e-03,6.816344e-07,2.866255e-03,1.201314e-24,2.866255e-03,6.816344e-07,9.925691e-03,2.691035e-08,
3.268268e-01,2.172233e-07,2.578283e-01,1.516239e-07,2.816375e-01,6.213515e+01,2.816375e-01,1.516239e-07,2.578283e-01,2.172233e-07,2.699603e-08,9.923672e-03,6.837493e-07,2.871926e-03,1.201314e-24,2.871926e-03,6.837493e-07,9.923672e-03,2.699603e-08,
3.273273e-01,2.172190e-07,2.569621e-01,1.514722e-07,2.813287e-01,6.213515e+01,2.813287e-01,1.514722e-07,2.569621e-01,2.172190e-07,2.708187e-08,9.921567e-03,6.858676e-07,2.877590e-03,1.201314e-24,2.877590e-03,6.858676e-07,9.921567e-03,2.708187e-08,
3.278278e-01,2.172146e-07,2.560977e-01,1.513206e-07,2.810199e-01,6.213515e+01,2.810199e-01,1.513206e-07,2.560977e-01,2.172146e-07,2.716786e-08,9.919377e-03,6.879893e-07,2.883248e-03,1.201314e-24,2.883248e-03,6.879893e-07,9.919377e-03,2.716786e-08,
3.283283e-01,2.172103e-07,2.552352e-01,1.511692e-07,2.807110e-01,6.213515e+01,2.807110e-01,1.511692e-07,2.552352e-01,2.172103e-07,2.725400e-08,9.917103e-03,6.901144e-07,2.888900e-03,1.201314e-24,2.888900e-03,6.901144e-07,9.917103e-03,2.725400e-08,
3.288288e-01,2.172060e-07,2.543746e-01,1.510179e-07,2.804021e-01,6.213515e+01,2.804021e-01,1.510179e-07,2.543746e-01,2.172060e-07,2.734029e-08,9.914745e-03,6.922428e-07,2.894546e-03,1.201314e-24,2.894546e-03,6.922428e-07,9.914745e-03,2.734029e-08,
3.293293e-01,2.172017e-07,2.535158e-01,1.508667e-07,2.800931e-01,6.213515e+01,2.800931e-01,1.508667e-07,2.535158e-01,2.172017e-07,2.742673e-08,9.912302e-03,6.943746e-07,2.900185e-03,1.201314e-24,2.900185e-03,6.943746e-07,9.912302e-03,2.742673e-08,
3.298298e-01,2.171974e-07,2.526590e-01,1.507156e-07,2.797841e-01,6.213515e+01,2.797841e-01,1.507156e-07,2.526590e-01,2.171974e-07,2.751332e-08,9.909777e-03,6.965099e-07,2.905818e-03,1.201314e-24,2.905818e-03,6.965099e-07,9.909777e-03,2.751332e-08,
3.303303e-01,2.171932e-07,2.518040e-01,1.505647e-07,2.794750e-01,6.213515e+01,2.794750e-01,1.505647e-07,2.518040e-01,2.171932e-07,2.760006e-08,9.907169e-03,6.986485e-07,2.911444e-03,1.201314e-24,2.911444e-03,6.986485e-07,9.907169e-03,2.760006e-08,
3.308308e-01,2.171889e-07,2.509510e-01,1.504139e-07,2.791659e-01,6.213515e+01,2.791659e-01,1.504139e-07,2.509510e-01,2.171889e-07,2.768696e-08,9.904479e-03,7.007904e-07,2.917064e-03,1.201314e-24,2.917064e-03,7.007904e-07,9.904479e-03,2.768696e-08,
3.313313e-01,2.171847e-07,2.500999e-01,1.502632e-07,2.788567e-01,6.213515e+01,2.788567e-01,1.502632e-07,2.500999e-01,2.171847e-07,2.777400e-08,9.901707e-03,7.029358e-07,2.922677e-03,1.201314e-24,2.922677e-03,7.029358e-07,9.901707e-03,2.777400e-08,
3.318318e-01,2.171805e-07,2.492507e-01,1.501127e-07,2.785475e-01,6.213515e+01,2.785475e-01,1.501127e-07,2.492507e-01,2.171805e-07,2.786120e-08,9.898854e-03,7.050846e-07,2.928283e-03,1.201314e-24,2.928283e-03,7.050846e-07,9.898854e-03,2.786120e-08,
