Frequency [Hz],AA transfer function,AI transfer function,
1.738762e+00,0.9999979247930235-0.0003827674560682j,0.9999979247930235-0.0003827674560682j,
1.758917e+00,0.9999979230393609-0.0003872041563964j,0.9999979230393609-0.0003872041563964j,
1.779304e+00,0.9999979212448086-0.0003916922830086j,0.9999979212448086-0.0003916922830086j,
1.799929e+00,0.9999979194084138-0.0003962324319923j,0.9999979194084138-0.0003962324319923j,
1.820792e+00,0.9999979175292005-0.0004008252063445j,0.9999979175292005-0.0004008252063445j,
1.841897e+00,0.9999979156061704-0.0004054712160514j,0.9999979156061704-0.0004054712160514j,
1.863246e+00,0.9999979136383020-0.0004101710781697j,0.9999979136383020-0.0004101710781697j,
1.884843e+00,0.9999979116245497-0.0004149254169084j,0.9999979116245497-0.0004149254169084j,
1.906691e+00,0.9999979095638429-0.0004197348637119j,0.9999979095638429-0.0004197348637119j,
1.928792e+00,0.9999979074550878-0.0004246000573436j,0.9999979074550878-0.0004246000573436j,
1.951148e+00,0.9999979052971639-0.0004295216439708j,0.9999979052971639-0.0004295216439708j,
1.973764e+00,0.9999979030889247-0.0004345002772509j,0.9999979030889247-0.0004345002772509j,
1.996642e+00,0.9999979008291969-0.0004395366184176j,0.9999979008291969-0.0004395366184176j,
2.019786e+00,0.9999978985167798-0.0004446313363690j,0.9999978985167798-0.0004446313363690j,
2.043197e+00,0.9999978961504450-0.0004497851077568j,0.9999978961504450-0.0004497851077568j,
2.066880e+00,0.9999978937289357-0.0004549986170755j,0.9999978937289357-0.0004549986170755j,
2.090838e+00,0.9999978912509645-0.0004602725567538j,0.9999978912509645-0.0004602725567538j,
2.115073e+00,0.9999978887152161-0.0004656076272462j,0.9999978887152161-0.0004656076272462j,
2.139589e+00,0.9999978861203429-0.0004710045371266j,0.9999978861203429-0.0004710045371266j,
2.164389e+00,0.9999978834649655-0.0004764640031817j,0.9999978834649655-0.0004764640031817j,
2.189477e+00,0.9999978807476742-0.0004819867505068j,0.9999978807476742-0.0004819867505068j,
2.214855e+00,0.9999978779670244-0.0004875735126015j,0.9999978779670244-0.0004875735126015j,
2.240528e+00,0.9999978751215397-0.0004932250314679j,0.9999978751215397-0.0004932250314679j,
2.266498e+00,0.9999978722097080-0.0004989420577084j,0.9999978722097080-0.0004989420577084j,
2.292769e+00,0.9999978692299824-0.0005047253506257j,0.9999978692299824-0.0005047253506257j,
2.319345e+00,0.9999978661807799-0.0005105756783239j,0.9999978661807799-0.0005105756783239j,
2.346229e+00,0.9999978630604804-0.0005164938178100j,0.9999978630604804-0.0005164938178100j,
2.373424e+00,0.9999978598674262-0.0005224805550974j,0.9999978598674262-0.0005224805550974j,
2.400935e+00,0.9999978565999205-0.0005285366853103j,0.9999978565999205-0.0005285366853103j,
2.428764e+00,0.9999978532562286-0.0005346630127893j,0.9999978532562286-0.0005346630127893j,
2.456916e+00,0.9999978498345727-0.0005408603511982j,0.9999978498345727-0.0005408603511982j,
2.485395e+00,0.9999978463331357-0.0005471295236318j,0.9999978463331357-0.0005471295236318j,
2.514203e+00,0.9999978427500572-0.0005534713627257j,0.9999978427500572-0.0005534713627257j,
2.543346e+00,0.9999978390834333-0.0005598867107667j,0.9999978390834333-0.0005598867107667j,
2.572826e+00,0.9999978353313158-0.0005663764198043j,0.9999978353313158-0.0005663764198043j,
2.602648e+00,0.9999978314917126-0.0005729413517645j,0.9999978314917126-0.0005729413517645j,
2.632815e+00,0.9999978275625829-0.0005795823785637j,0.9999978275625829-0.0005795823785637j,
2.663333e+00,0.9999978235418389-0.0005863003822250j,0.9999978235418389-0.0005863003822250j,
2.694204e+00,0.9999978194273454-0.0005930962549949j,0.9999978194273454-0.0005930962549949j,
2.725433e+00,0.9999978152169160-0.0005999708994621j,0.9999978152169160-0.0005999708994621j,
2.757023e+00,0.9999978109083133-0.0006069252286773j,0.9999978109083133-0.0006069252286773j,
2.788980e+00,0.9999978064992490-0.0006139601662743j,0.9999978064992490-0.0006139601662743j,
2.821308e+00,0.9999978019873806-0.0006210766465929j,0.9999978019873806-0.0006210766465929j,
2.854010e+00,0.9999977973703104-0.0006282756148029j,0.9999977973703104-0.0006282756148029j,
2.887091e+00,0.9999977926455865-0.0006355580270297j,0.9999977926455865-0.0006355580270297j,
2.920556e+00,0.9999977878106979-0.0006429248504810j,0.9999977878106979-0.0006429248504810j,
2.954408e+00,0.9999977828630764-0.0006503770635758j,0.9999977828630764-0.0006503770635758j,
2.988653e+00,0.9999977778000930-0.0006579156560738j,0.9999977778000930-0.0006579156560738j,
3.023295e+00,0.9999977726190583-0.0006655416292070j,0.9999977726190583-0.0006655416292070j,
3.058338e+00,0.9999977673172199-0.0006732559958130j,0.9999977673172199-0.0006732559958130j,
3.093788e+00,0.9999977618917602-0.0006810597804691j,0.9999977618917602-0.0006810597804691j,
3.129648e+00,0.9999977563397979-0.0006889540196286j,0.9999977563397979-0.0006889540196286j,
3.165924e+00,0.9999977506583826-0.0006969397617584j,0.9999977506583826-0.0006969397617584j,
3.202621e+00,0.9999977448444960-0.0007050180674781j,0.9999977448444960-0.0007050180674781j,
3.239743e+00,0.9999977388950495-0.0007131900097013j,0.9999977388950495-0.0007131900097013j,
