Frequency [Hz],Input whitening transfer function,Output whitening transfer function,
4.371602e-01,1.0000100863062649+0.0138433997705671j,1.0002123221638612+1.4570549984016252j,
4.422274e-01,1.0000103214842824+0.0140038599975301j,1.0002172727909056+1.4739438856746228j,
4.473533e-01,1.0000105621458459+0.0141661801308937j,1.0002223388491984+1.4910285339096658j,
4.525386e-01,1.0000108084188071+0.0143303817288272j,1.0002275230290252+1.5083112121931308j,
4.577841e-01,1.0000110604340051+0.0144964865993754j,1.0002328280879738+1.5257942159125983j,
4.630903e-01,1.0000113183253241+0.0146645168033551j,1.0002382568400208+1.5434798670617107j,
4.684580e-01,1.0000115822297850+0.0148344946572841j,1.0002438121755404+1.5613705145485648j,
4.738880e-01,1.0000118522875816+0.0150064427363452j,1.0002494970412954+1.5794685345076793j,
4.793808e-01,1.0000121286421972+0.0151803838773842j,1.0002553144586273+1.5977763306155794j,
4.849374e-01,1.0000124114404514+0.0153563411819420j,1.0002612675179989+1.6162963344100365j,
4.905584e-01,1.0000127008325777+0.0155343380193231j,1.0002673593826330+1.6350310056130095j,
4.962445e-01,1.0000129969723339+0.0157143980296984j,1.0002735932866926+1.6539828324573309j,
5.019965e-01,1.0000133000170450+0.0158965451272450j,1.0002799725480145+1.6731543320171756j,
5.078152e-01,1.0000136101277128+0.0160808035033212j,1.0002865005480999+1.6925480505423676j,
5.137014e-01,1.0000139274690909+0.0162671976296797j,1.0002931807593995+1.7121665637965506j,
5.196557e-01,1.0000142522097697+0.0164557522617169j,1.0003000167325808+1.7320124773992882j,
5.256791e-01,1.0000145845222796+0.0166464924417605j,1.0003070120965276+1.7520884271721244j,
5.317723e-01,1.0000149245831693+0.0168394435023944j,1.0003141705674352+1.7723970794886581j,
