PRM transmissivity,Reflected power,
5.955956e-01,2.407420e+00,
5.965966e-01,2.408757e+00,
5.975976e-01,2.410091e+00,
5.985986e-01,2.411421e+00,
5.995996e-01,2.412748e+00,
6.006006e-01,2.414071e+00,
6.016016e-01,2.415392e+00,
6.026026e-01,2.416708e+00,
6.036036e-01,2.418022e+00,
6.046046e-01,2.419332e+00,
6.056056e-01,2.420639e+00,
6.066066e-01,2.421943e+00,
6.076076e-01,2.423244e+00,
6.086086e-01,2.424541e+00,
6.096096e-01,2.425835e+00,
6.106106e-01,2.427126e+00,
6.116116e-01,2.428414e+00,
6.126126e-01,2.429699e+00,
6.136136e-01,2.430980e+00,
6.146146e-01,2.432258e+00,
6.156156e-01,2.433534e+00,
6.166166e-01,2.434806e+00,
6.176176e-01,2.436075e+00,
6.186186e-01,2.437341e+00,
6.196196e-01,2.438604e+00,
6.206206e-01,2.439863e+00,
6.216216e-01,2.441120e+00,
6.226226e-01,2.442374e+00,
6.236236e-01,2.443625e+00,
6.246246e-01,2.444873e+00,
6.256256e-01,2.446117e+00,
6.266266e-01,2.447359e+00,
6.276276e-01,2.448598e+00,
6.286286e-01,2.449834e+00,
6.296296e-01,2.451067e+00,
6.306306e-01,2.452297e+00,
6.316316e-01,2.453525e+00,
6.326326e-01,2.454749e+00,
6.336336e-01,2.455970e+00,
6.346346e-01,2.457189e+00,
6.356356e-01,2.458405e+00,
6.366366e-01,2.459618e+00,
6.376376e-01,2.460828e+00,
6.386386e-01,2.462035e+00,
6.396396e-01,2.463240e+00,
6.406406e-01,2.464442e+00,
6.416416e-01,2.465641e+00,
6.426426e-01,2.466837e+00,
6.436436e-01,2.468031e+00,
6.446446e-01,2.469222e+00,
6.456456e-01,2.470410e+00,
6.466466e-01,2.471595e+00,
6.476476e-01,2.472778e+00,
6.486486e-01,2.473958e+00,
6.496496e-01,2.475135e+00,
6.506507e-01,2.476310e+00,
6.516517e-01,2.477482e+00,
6.526527e-01,2.478652e+00,
6.536537e-01,2.479819e+00,
6.546547e-01,2.480983e+00,
6.556557e-01,2.482145e+00,
6.566567e-01,2.483304e+00,
6.576577e-01,2.484461e+00,
6.586587e-01,2.485615e+00,
6.596597e-01,2.486766e+00,
6.606607e-01,2.487915e+00,
6.616617e-01,2.489062e+00,
6.626627e-01,2.490206e+00,
6.636637e-01,2.491347e+00,
6.646647e-01,2.492486e+00,
6.656657e-01,2.493623e+00,
6.666667e-01,2.494757e+00,
6.676677e-01,2.495888e+00,
6.686687e-01,2.497017e+00,
6.696697e-01,2.498144e+00,
6.706707e-01,2.499269e+00,
6.716717e-01,2.500391e+00,
6.726727e-01,2.501510e+00,
6.736737e-01,2.502627e+00,
6.746747e-01,2.503742e+00,
6.756757e-01,2.504855e+00,
6.766767e-01,2.505965e+00,
6.776777e-01,2.507073e+00,
6.786787e-01,2.508178e+00,
6.796797e-01,2.509281e+00,
6.806807e-01,2.510382e+00,
6.816817e-01,2.511481e+00,
6.826827e-01,2.512577e+00,
6.836837e-01,2.513671e+00,
6.846847e-01,2.514763e+00,
6.856857e-01,2.515853e+00,
6.866867e-01,2.516940e+00,
6.876877e-01,2.518025e+00,
6.886887e-01,2.519108e+00,
6.896897e-01,2.520189e+00,
6.906907e-01,2.521268e+00,
6.916917e-01,2.522344e+00,
6.926927e-01,2.523418e+00,
6.936937e-01,2.524490e+00,
6.946947e-01,2.525560e+00,
6.956957e-01,2.526628e+00,
6.966967e-01,2.527694e+00,
6.976977e-01,2.528757e+00,
6.986987e-01,2.529819e+00,
6.996997e-01,2.530878e+00,
7.007007e-01,2.531935e+00,
7.017017e-01,2.532991e+00,
7.027027e-01,2.534044e+00,
7.037037e-01,2.535095e+00,
7.047047e-01,2.536144e+00,
7.057057e-01,2.537191e+00,
7.067067e-01,2.538236e+00,
7.077077e-01,2.539279e+00,
7.087087e-01,2.540320e+00,
7.097097e-01,2.541359e+00,
7.107107e-01,2.542396e+00,
7.117117e-01,2.543431e+00,
7.127127e-01,2.544465e+00,
7.137137e-01,2.545496e+00,
7.147147e-01,2.546525e+00,
7.157157e-01,2.547552e+00,
7.167167e-01,2.548578e+00,
7.177177e-01,2.549601e+00,
7.187187e-01,2.550623e+00,
