Frequency,Horizontal seismic motion,Requirement,
1.315586e+02,7.983512e-21,4.505248e-18,
1.321664e+02,8.240675e-21,4.459253e-18,
1.327771e+02,6.563628e-21,4.413792e-18,
1.333906e+02,4.712083e-21,4.368857e-18,
1.340069e+02,4.687569e-21,4.324443e-18,
1.346261e+02,4.708123e-21,4.280545e-18,
1.352481e+02,5.618875e-21,4.237155e-18,
1.358730e+02,3.901076e-21,4.194269e-18,
1.365008e+02,4.383992e-21,4.151880e-18,
1.371315e+02,3.717221e-21,4.109982e-18,
1.377651e+02,3.657642e-21,4.068571e-18,
1.384016e+02,3.455134e-21,4.027640e-18,
1.390411e+02,4.070411e-21,3.987183e-18,
1.396835e+02,2.994282e-21,3.947196e-18,
1.403289e+02,4.239209e-21,3.907673e-18,
1.409773e+02,4.153707e-21,3.868608e-18,
1.416287e+02,2.512538e-21,3.829997e-18,
1.422830e+02,1.689188e-20,3.791833e-18,
1.429405e+02,3.065175e-21,3.754112e-18,
1.436009e+02,3.513634e-21,3.716829e-18,
1.442644e+02,3.713125e-21,3.679978e-18,
1.449310e+02,3.368122e-21,3.643555e-18,
1.456006e+02,3.316246e-21,3.607554e-18,
1.462733e+02,2.744746e-21,3.571972e-18,
1.469492e+02,4.968123e-21,3.536802e-18,
1.476281e+02,2.702434e-21,3.502039e-18,
1.483103e+02,2.114533e-21,3.467681e-18,
1.489955e+02,4.953698e-21,3.433721e-18,
1.496839e+02,3.124285e-21,3.400155e-18,
1.503755e+02,1.972776e-21,3.366978e-18,
1.510703e+02,1.536598e-21,3.334186e-18,
1.517683e+02,1.659370e-21,3.301775e-18,
1.524696e+02,1.472320e-21,3.269739e-18,
1.531740e+02,1.141855e-21,3.238075e-18,
1.538818e+02,1.139054e-21,3.206779e-18,
1.545928e+02,1.119264e-21,3.175845e-18,
1.553071e+02,1.037566e-21,3.145270e-18,
1.560246e+02,1.800475e-21,3.115050e-18,
1.567455e+02,1.101081e-21,3.085180e-18,
1.574698e+02,1.413961e-21,3.055657e-18,
1.581973e+02,1.386547e-21,3.026476e-18,
1.589283e+02,1.212620e-21,2.997633e-18,
1.596626e+02,1.281919e-21,2.969124e-18,
1.604003e+02,3.039221e-21,2.940946e-18,
1.611414e+02,4.496946e-21,2.913094e-18,
1.618860e+02,3.104682e-21,2.885566e-18,
1.626340e+02,1.536189e-21,2.858356e-18,
1.633854e+02,8.004322e-22,2.831461e-18,
1.641403e+02,7.047809e-22,2.804878e-18,
1.648987e+02,7.287875e-22,2.778603e-18,
1.656606e+02,7.048186e-22,2.752631e-18,
1.664260e+02,7.715676e-22,2.726961e-18,
1.671950e+02,6.726411e-22,2.701588e-18,
1.679675e+02,8.204129e-22,2.676508e-18,
1.687436e+02,7.084475e-22,2.651719e-18,
1.695232e+02,5.362435e-22,2.627216e-18,
1.703065e+02,4.525104e-22,2.602997e-18,
1.710934e+02,4.719098e-22,2.579057e-18,
1.718839e+02,5.525848e-22,2.555395e-18,
1.726781e+02,6.333538e-22,2.532006e-18,
1.734759e+02,4.604497e-22,2.508887e-18,
1.742775e+02,1.363485e-21,2.486035e-18,
1.750827e+02,5.333669e-22,2.463447e-18,
1.758917e+02,6.462897e-22,2.441120e-18,
1.767044e+02,4.133181e-22,2.419051e-18,
1.775208e+02,4.228587e-22,2.397236e-18,
1.783410e+02,4.112429e-22,2.375672e-18,
1.791650e+02,4.896461e-22,2.354358e-18,
1.799929e+02,7.386597e-22,2.333289e-18,
1.808245e+02,3.565436e-22,2.312463e-18,
1.816600e+02,1.972979e-22,2.291876e-18,
1.824993e+02,3.022334e-22,2.271527e-18,
1.833425e+02,3.202907e-22,2.251411e-18,
1.841897e+02,2.162269e-22,2.231528e-18,
1.850407e+02,2.215193e-22,2.211872e-18,
1.858957e+02,1.568938e-22,2.192443e-18,
