"Frequency [Hz]" "ET-D-LF" "ET-D-HF" "Combined"
2.0834013 9.1685805E-023 7.7922906E-019 9.1685804E-023
2.0898095 9.0563238E-023 7.8789937E-019 9.0563237E-023
2.0962375 8.9455569E-023 7.967524E-019 8.9455568E-023
2.1026852 8.8362018E-023 8.0542828E-019 8.8362017E-023
2.1091528 8.7282835E-023 8.1359671E-019 8.7282835E-023
2.1156402 8.6217613E-023 8.2201033E-019 8.6217612E-023
2.1221476 8.5165936E-023 8.3028699E-019 8.5165935E-023
2.128675 8.4127961E-023 8.3736977E-019 8.412796E-023
2.1352226 8.3103418E-023 8.4219327E-019 8.3103418E-023
2.1417902 8.2091834E-023 8.4588609E-019 8.2091833E-023
2.148378 8.1093257E-023 8.490743E-019 8.1093257E-023
2.1549861 8.010748E-023 8.5127845E-019 8.0107479E-023
2.1616146 7.9134118E-023 8.5199693E-019 7.9134117E-023
2.1682634 7.8173153E-023 8.4942231E-019 7.8173153E-023
2.1749327 7.7224417E-023 8.4336821E-019 7.7224417E-023
2.1816224 7.6287592E-023 8.3509765E-019 7.6287592E-023
2.1883328 7.5362615E-023 8.2587341E-019 7.5362614E-023
2.1950638 7.4449345E-023 8.1374704E-019 7.4449344E-023
2.2018155 7.3547511E-023 7.973009E-019 7.3547511E-023
2.208588 7.2657039E-023 7.7825265E-019 7.2657039E-023
2.2153813 7.177782E-023 7.5824282E-019 7.1777819E-023
2.2221955 7.0909578E-023 7.3677641E-019 7.0909578E-023
2.2290306 7.0052209E-023 7.1274276E-019 7.0052209E-023
2.2358868 6.9205607E-023 6.8742263E-019 6.9205607E-023
2.2427641 6.8369561E-023 6.6198599E-019 6.8369561E-023
2.2496625 6.7543955E-023 6.3650471E-019 6.7543955E-023
2.2565822 6.6728695E-023 6.1031002E-019 6.6728695E-023
2.2635231 6.5923587E-023 5.8414482E-019 6.5923587E-023
2.2704854 6.5128511E-023 5.5867415E-019 6.5128511E-023
2.2774691 6.434338E-023 5.3405179E-019 6.434338E-023
2.2844742 6.3568016E-023 5.0985875E-019 6.3568015E-023
2.2915009 6.2802296E-023 4.8640326E-019 6.2802295E-023
2.2985493 6.2046138E-023 4.6396589E-019 6.2046137E-023
2.3056193 6.1299377E-023 4.4262246E-019 6.1299377E-023
2.312711 6.0561907E-023 4.2212116E-019 6.0561906E-023
2.3198246 5.9833665E-023 4.0254191E-019 5.9833665E-023
2.3269601 5.9114457E-023 3.8396493E-019 5.9114456E-023
2.3341175 5.8404163E-023 3.6639885E-019 5.8404162E-023
2.3412969 5.7702711E-023 3.4969567E-019 5.770271E-023
2.3484984 5.7009955E-023 3.3384685E-019 5.7009954E-023
2.355722 5.6325779E-023 3.1885223E-019 5.6325778E-023
2.3629679 5.5650113E-023 3.0468992E-019 5.5650112E-023
2.370236 5.4982817E-023 2.9127117E-019 5.4982816E-023
2.3775265 5.4323778E-023 2.78563E-019 5.4323777E-023
2.3848395 5.3672931E-023 2.6654054E-019 5.367293E-023
2.3921749 5.3030141E-023 2.5517394E-019 5.303014E-023
2.3995329 5.2395299E-023 2.444075E-019 5.2395298E-023
2.4069135 5.1768341E-023 2.3420717E-019 5.1768339E-023
2.4143168 5.1149139E-023 2.2454469E-019 5.1149137E-023
2.4217429 5.0537582E-023 2.1539184E-019 5.053758E-023
2.4291919 4.9933604E-023 2.0671181E-019 4.9933602E-023
2.4366637 4.9337096E-023 1.9847607E-019 4.9337094E-023
2.4441586 4.8747953E-023 1.9065979E-019 4.8747951E-023
2.4516764 4.8166116E-023 1.8323933E-019 4.8166115E-023
2.4592175 4.759147E-023 1.7618916E-019 4.7591468E-023
2.4667817 4.7023913E-023 1.6948704E-019 4.7023911E-023
2.4743691 4.6463388E-023 1.6311293E-019 4.6463386E-023
2.4819799 4.5909784E-023 1.5704801E-019 4.5909782E-023
2.4896142 4.5363004E-023 1.5127387E-019 4.5363002E-023
2.4972719 4.4822993E-023 1.4577359E-019 4.4822991E-023
2.5049531 4.4289645E-023 1.4053153E-019 4.4289643E-023
2.512658 4.3762865E-023 1.3553305E-019 4.3762863E-023
2.5203866 4.3242601E-023 1.3076444E-019 4.3242599E-023
2.5281389 4.2728751E-023 1.2621287E-019 4.2728749E-023
2.5359151 4.2221224E-023 1.2186632E-019 4.2221221E-023
2.5437152 4.1719968E-023 1.177135E-019 4.1719965E-023
2.5515393 4.1224888E-023 1.1374392E-019 4.1224885E-023
2.5593875 4.0735895E-023 1.0994781E-019 4.0735892E-023
2.5672598 4.025294E-023 1.0631595E-019 4.0252937E-023
2.5751563 3.977593E-023 1.0283965E-019 3.9775928E-023
