Low frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),Mid frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),High frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),
2.475000e+01,2.021149e-08,6.813215e-08,1.333899e-07,3.960000e+02,8.610627e-09,1.673004e-07,1.883546e-07,1.267200e+04,8.494190e-09,6.477900e-08,8.806353e-08,
2.500000e+01,1.772546e-08,7.602913e-08,1.395781e-07,4.000000e+02,8.904993e-09,2.185630e-07,1.853844e-07,1.280000e+04,8.497604e-09,6.434525e-08,7.942840e-08,
2.525000e+01,1.746877e-08,8.814837e-08,1.607528e-07,4.040000e+02,8.956532e-09,1.440564e-07,1.795450e-07,1.292800e+04,8.421811e-09,6.324974e-08,7.809084e-08,
2.550000e+01,1.846356e-08,8.926784e-08,1.539391e-07,4.080000e+02,8.488168e-09,6.445966e-08,1.654666e-07,1.305600e+04,8.362582e-09,6.269441e-08,7.911419e-08,
2.575000e+01,2.166759e-08,8.487795e-08,1.193802e-07,4.120000e+02,8.830491e-09,5.951863e-08,1.522372e-07,1.318400e+04,8.322755e-09,6.168902e-08,7.907277e-08,
2.600000e+01,2.755439e-08,8.725641e-08,1.341018e-07,4.160000e+02,9.381925e-09,5.990044e-08,1.660470e-07,1.331200e+04,8.366403e-09,6.221905e-08,7.727544e-08,
2.625000e+01,2.745983e-08,9.046667e-08,1.665521e-07,4.200000e+02,9.814712e-09,5.786747e-08,1.840996e-07,1.344000e+04,8.216271e-09,6.272222e-08,7.541192e-08,
2.650000e+01,2.197609e-08,9.235691e-08,1.743930e-07,4.240000e+02,1.005793e-08,5.960777e-08,1.842650e-07,1.356800e+04,8.275591e-09,6.180712e-08,7.398334e-08,
2.675000e+01,2.381900e-08,8.835030e-08,1.798082e-07,4.280000e+02,9.661689e-09,6.206192e-08,1.832779e-07,1.369600e+04,8.416412e-09,6.268319e-08,7.328853e-08,
2.700000e+01,2.459129e-08,8.310227e-08,1.689158e-07,4.320000e+02,9.153756e-09,6.261289e-08,1.730502e-07,1.382400e+04,8.369765e-09,6.321725e-08,7.340297e-08,
2.725000e+01,1.977352e-08,7.538981e-08,1.655868e-07,4.360000e+02,8.906460e-09,6.259970e-08,1.666969e-07,1.395200e+04,8.183895e-09,6.369513e-08,7.382754e-08,
2.750000e+01,1.872911e-08,6.964689e-08,1.531822e-07,4.400000e+02,8.751267e-09,6.722649e-08,1.714779e-07,1.408000e+04,8.187616e-09,6.381518e-08,7.552444e-08,
2.775000e+01,1.814343e-08,5.830478e-08,1.464627e-07,4.440000e+02,8.650026e-09,9.802812e-08,1.887057e-07,1.420800e+04,8.111416e-09,6.441007e-08,7.852175e-08,
2.800000e+01,1.917355e-08,5.756987e-08,1.451631e-07,4.480000e+02,8.882456e-09,1.589703e-07,2.240845e-07,1.433600e+04,8.052195e-09,6.552315e-08,8.323175e-08,
2.825000e+01,2.144512e-08,6.955862e-08,1.375822e-07,4.520000e+02,8.820742e-09,1.472996e-07,2.219186e-07,1.446400e+04,8.117850e-09,6.570455e-08,8.485689e-08,
2.850000e+01,2.022409e-08,7.206394e-08,1.437597e-07,4.560000e+02,8.235635e-09,8.020131e-08,1.795848e-07,1.459200e+04,8.098193e-09,6.468128e-08,8.305776e-08,
2.875000e+01,2.211558e-08,7.553298e-08,1.259061e-07,4.600000e+02,7.567576e-09,5.670148e-08,1.674222e-07,1.472000e+04,7.972633e-09,6.434073e-08,7.810361e-08,
2.900000e+01,2.340586e-08,8.224485e-08,1.172676e-07,4.640000e+02,7.550661e-09,5.721077e-08,1.508906e-07,1.484800e+04,8.014761e-09,6.441983e-08,7.418776e-08,
2.925000e+01,2.312275e-08,6.397703e-08,1.472171e-07,4.680000e+02,8.223600e-09,6.095166e-08,1.624198e-07,1.497600e+04,8.140645e-09,6.455578e-08,7.333449e-08,
2.950000e+01,2.149080e-08,5.367123e-08,1.710542e-07,4.720000e+02,8.250406e-09,6.067729e-08,1.784152e-07,1.510400e+04,8.193084e-09,6.492961e-08,7.358186e-08,
2.975000e+01,1.994133e-08,5.844540e-08,1.667317e-07,4.760000e+02,7.701354e-09,6.173516e-08,1.670056e-07,1.523200e+04,8.272829e-09,6.424995e-08,7.115693e-08,
3.000000e+01,2.145232e-08,7.206877e-08,1.470840e-07,4.800000e+02,7.567792e-09,5.740210e-08,1.711002e-07,1.536000e+04,8.324546e-09,6.301656e-08,6.843308e-08,
3.025000e+01,2.524517e-08,7.857384e-08,1.596829e-07,4.840000e+02,8.198032e-09,5.578515e-08,1.855976e-07,1.548800e+04,8.238077e-09,6.365360e-08,6.782762e-08,
3.050000e+01,2.633210e-08,7.913130e-08,1.660667e-07,4.880000e+02,8.895651e-09,5.796113e-08,1.998394e-07,1.561600e+04,8.162680e-09,6.335685e-08,6.967365e-08,
3.075000e+01,2.407657e-08,7.157983e-08,1.607375e-07,4.920000e+02,9.013394e-09,6.451276e-08,1.966947e-07,1.574400e+04,8.154368e-09,6.314275e-08,7.083118e-08,
3.100000e+01,1.773876e-08,6.743659e-08,1.609725e-07,4.960000e+02,9.053583e-09,8.593220e-08,1.954307e-07,1.587200e+04,8.320270e-09,6.378457e-08,7.045477e-08,
3.125000e+01,1.943808e-08,6.854272e-08,1.565942e-07,5.000000e+02,8.721360e-09,1.009558e-07,1.953380e-07,1.600000e+04,8.458136e-09,6.332674e-08,7.129903e-08,
3.150000e+01,2.092504e-08,7.530939e-08,1.316665e-07,5.040000e+02,8.447093e-09,7.916520e-08,1.776069e-07,1.612800e+04,8.463321e-09,6.395210e-08,7.533247e-08,
3.175000e+01,1.890057e-08,8.455694e-08,1.186218e-07,5.080000e+02,7.873810e-09,5.687706e-08,1.754387e-07,1.625600e+04,8.412163e-09,6.409480e-08,7.680666e-08,
3.200000e+01,2.106686e-08,7.337871e-08,1.415404e-07,5.120000e+02,7.750827e-09,5.458807e-08,1.812426e-07,1.638400e+04,8.343267e-09,6.463110e-08,7.300751e-08,
3.225000e+01,2.464284e-08,5.580524e-08,1.523784e-07,5.160000e+02,8.185818e-09,5.696675e-08,1.789604e-07,1.651200e+04,8.366678e-09,6.530841e-08,7.132949e-08,
3.250000e+01,2.372764e-08,6.141963e-08,1.226334e-07,5.200000e+02,8.191429e-09,6.007387e-08,1.770996e-07,1.664000e+04,8.307271e-09,6.522950e-08,7.200383e-08,
3.275000e+01,2.027194e-08,7.025046e-08,9.316046e-08,5.240000e+02,7.677866e-09,5.818941e-08,1.710918e-07,1.676800e+04,8.265203e-09,6.440568e-08,7.103648e-08,
3.300000e+01,1.923860e-08,6.301656e-08,1.196599e-07,5.280000e+02,8.223112e-09,5.859189e-08,1.717287e-07,1.689600e+04,8.225803e-09,6.461286e-08,6.923943e-08,
3.325000e+01,1.765754e-08,6.318526e-08,1.376964e-07,5.320000e+02,8.527175e-09,6.297326e-08,1.784736e-07,1.702400e+04,8.187400e-09,6.509307e-08,6.891747e-08,
3.350000e+01,1.494736e-08,6.870894e-08,1.437018e-07,5.360000e+02,8.373570e-09,6.526353e-08,1.784877e-07,1.715200e+04,8.206678e-09,6.526812e-08,6.929928e-08,
