Frequency,ESD,Coil,
1.188708e+00,-0.002993001271505520664851-0.000559383246641040918039j,0.486328400578661390607493-1.057250603240416308992167j,
1.205261e+00,-0.002715742142066275999907-0.000434591443258097558100j,0.461321744611228767851685-1.041636671107489808818514j,
1.222045e+00,-0.002430408257649075906559-0.000345258490015281911505j,0.444184107187810817141127-1.026002901953865231732266j,
1.239062e+00,-0.002138419581984122262719-0.000288154060785268141803j,0.435221975306948949402397-1.011117887869904086173278j,
1.256317e+00,-0.001839455194262329786395-0.000259803542107785493363j,0.434911088082174546176617-0.997536255153752993152239j,
1.273811e+00,-0.001531350062969597100246-0.000256481578914398487910j,0.444014342311385312722649-0.985558292461214069390962j,
1.291550e+00,-0.001209890146229723349378-0.000273970878813213289393j,0.463719448373395848328471-0.975142166159438383843394j,
1.309535e+00,-0.000868474670444270568925-0.000306960297127727968405j,0.495803080755373826171706-0.965722026943365619011672j,
1.327771e+00,-0.000497672311368815931815-0.000347828832146154017391j,0.542812808882801811627417-0.955848239085441364615292j,
1.346261e+00,-0.000084881545712069394203-0.000384338026710406908786j,0.608202901695910180812632-0.942499713527505278420904j,
