Frequency [Hz],Magnitude,Phase [degrees]
48718,0.77445,167.87
49396,0.77224,168
50084,0.77009,168.13
50782,0.768,168.25
51489,0.76596,168.38
52206,0.76397,168.51
52933,0.76204,168.63
53670,0.76015,168.76
54417,0.75832,168.88
55175,0.75653,169
55943,0.75479,169.13
56722,0.75309,169.25
57512,0.75144,169.37
58313,0.74983,169.49
59125,0.74827,169.61
59948,0.74675,169.73
60783,0.74526,169.85
61630,0.74382,169.96
62488,0.74241,170.08
63358,0.74104,170.2
64240,0.73971,170.31
65135,0.73841,170.43
66042,0.73714,170.54
66962,0.73591,170.65
67894,0.73471,170.76
68840,0.73355,170.87
69798,0.73241,170.98
70770,0.73131,171.09
71756,0.73023,171.2
72755,0.72918,171.31
73768,0.72816,171.41
74795,0.72717,171.52
75837,0.7262,171.62
76893,0.72526,171.73
77964,0.72435,171.83
79049,0.72346,171.93
80150,0.72259,172.03
81266,0.72175,172.13
82398,0.72093,172.23
83545,0.72013,172.32
84709,0.71935,172.42
85888,0.71859,172.52
87084,0.71785,172.61
88297,0.71714,172.7
89527,0.71644,172.8
90773,0.71576,172.89
92037,0.7151,172.98
93319,0.71445,173.07
94618,0.71383,173.16
95936,0.71322,173.24
97272,0.71262,173.33
98627,0.71205,173.42
100000,0.71148,173.5
